area005;Alajärvi kommun;alajarvi.fi
area009;Alavieska kommun;alavieska.fi
area010;Alavus kommun;alavus.fi
area016;Asikkala kommun;asikkala.fi
area018;Askola kommun;askola.fi
area019;Aura kommun;aura.fi
area035;Brändö kommun;brando.ax
area043;Eckerö kommun;eckero.ax
area046;Enonkoski kommun;enonkoski.fi
area047;Enontekiö kommun;enontekio.fi
area049;Espoo kommun;espoo.fi
area050;Eura kommun;eura.fi
area051;Eurajoki kommun;eurajoki.fi
area052;Evijärvi kommun;evijarvi.fi
area060;Finström kommun;finstrom.ax
area061;Forssa kommun;forssa.fi
area062;Föglö kommun;foglo.ax
area065;Geta kommun;geta.ax
area069;Haapajärvi kommun;haapajarvi.fi
area071;Haapavesi kommun;haapavesi.fi
area072;Hailuoto kommun;hailuoto.fi
area074;Halsua kommun;halsua.fi
area075;Hamina kommun;hamina.fi
area076;Hammarland kommun;hammarland.ax
area077;Hankasalmi kommun;hankasalmi.fi
area078;Hanko kommun;hanko.fi
area079;Harjavalta kommun;harjavalta.fi
area081;Hartola kommun;hartola.fi
area082;Hattula kommun;hattula.fi
area086;Hausjärvi kommun;hausjarvi.fi
area090;Heinävesi kommun;heinavesi.fi
area091;Helsinki kommun;hel.fi
area092;Vantaa kommun;vantaa.fi
area097;Hirvensalmi kommun;hirvensalmi.fi
area098;Hollola kommun;hollola.fi
area099;Honkajoki kommun;honkajoki.fi
area102;Huittinen kommun;huittinen.fi
area103;Humppila kommun;humppila.fi
area105;Hyrynsalmi kommun;hyrynsalmi.fi
area106;Hyvinkää kommun;hyvinkaa.fi
area108;Hämeenkyrö kommun;hameenkyro.fi
area109;Hämeenlinna kommun;hameenlinna.fi
area139;Ii kommun;ii.fi
area140;Iisalmi kommun;iisalmi.fi
area142;Iitti kommun;iitti.fi
area143;Ikaalinen kommun;ikaalinen.fi
area145;Ilmajoki kommun;ilmajoki.fi
area146;Ilomantsi kommun;ilomantsi.fi
area148;Inari kommun;inari.fi
area149;Inkoo kommun;inga.fi
area151;Isojoki kommun;isojoki.fi
area152;Isokyrö kommun;isokyro.fi
area153;Imatra kommun;imatra.fi
area164;Jalasjärvi kommun;jalasjarvi.fi
area165;Janakkala kommun;janakkala.fi
area167;Joensuu kommun;jns.fi
area169;Jokioinen kommun;jokioinen.fi
area170;Jomala kommun;jomala.ax
area171;Joroinen kommun;joroinen.fi
area172;Joutsa kommun;joutsa.fi
area174;Juankoski kommun;juankoski.fi
area176;Juuka kommun;juuka.fi
area177;Juupajoki kommun;juupajoki.fi
area178;Juva kommun;juva.fi
area179;Jyväskylä kommun;jkl.fi
area181;Jämijärvi kommun;jamijarvi.fi
area182;Jämsä kommun;jamsa.fi
area186;Järvenpää kommun;jarvenpaa.fi
area202;Kaarina kommun;kaarina.fi
area204;Kaavi kommun;kaavi.fi
area205;Kajaani kommun;kajaani.fi
area208;Kalajoki kommun;kalajoki.fi
area211;Kangasala kommun;kangasala.fi
area213;Kangasniemi kommun;kangasniemi.fi
area214;Kankaanpää kommun;kankaanpaa.fi
area216;Kannonkoski kommun;kannonkoski.fi
area217;Kannus kommun;kannus.fi
area218;Karijoki kommun;karijoki.fi
area224;Karkkila kommun;karkkila.fi
area226;Karstula kommun;karstula.fi
area230;Karvia kommun;karvia.fi
area231;Kaskinen kommun;kaskinen.fi
area232;Kauhajoki kommun;kauhajoki.fi
area233;Kauhava kommun;kauhava.fi
area235;Kauniainen kommun;kauniainen.fi
area236;Kaustinen kommun;kaustinen.fi
area239;Keitele kommun;keitele.fi
area240;Kemi kommun;kemi.fi
area241;Keminmaa kommun;keminmaa.fi
area244;Kempele kommun;kempele.fi
area245;Kerava kommun;kerava.fi
area249;Keuruu kommun;keuruu.fi
area250;Kihniö kommun;kihnio.fi
area256;Kinnula kommun;kinnula.fi
area257;Kirkkonummi kommun;kirkkonummi.fi
area260;Kitee kommun;kitee.fi
area261;Kittilä kommun;kittila.fi
area263;Kiuruvesi kommun;kiuruvesi.fi
area265;Kivijärvi kommun;kivijarvi.fi
area271;Kokemäki kommun;kokemaki.fi
area272;Kokkola kommun;kokkola.fi
area273;Kolari kommun;kolari.fi
area275;Konnevesi kommun;konnevesi.fi
area276;Kontiolahti kommun;kontiolahti.fi
area280;Korsnäs kommun;korsnas.fi
area283;Hämeenkoski kommun;hameenkoski.fi
area284;KoskiTl kommun;koski.fi
area285;Kotka kommun;kotka.fi
area286;Kouvola kommun;kouvola.fi
area287;Kristiinankaupunki kommun;kristiinankaupunki.fi
area288;Kruunupyy kommun;kronoby.fi
area290;Kuhmo kommun;kuhmo.fi
area291;Kuhmoinen kommun;kuhmoinen.fi
area295;Kumlinge kommun;kumlinge.ax
area297;Kuopio kommun;kuopio.fi
area300;Kuortane kommun;kuortane.fi
area301;Kurikka kommun;kurikka.fi
area304;Kustavi kommun;kustavi.fi
area305;Kuusamo kommun;kuusamo.fi
area309;Outokumpu kommun;outokummunkaupunki.fi
area312;Kyyjärvi kommun;kyyjarvi.fi
area316;Kärkölä kommun;karkola.fi
area317;Kärsämäki kommun;karsamaki.fi
area318;Kökar kommun;kokar.ax
area319;Köyliö kommun;koylio.fi
area320;Kemijärvi kommun;kemijarvi.fi
area398;Lahti kommun;kontiolahti.fi
area399;Laihia kommun;laihia.fi
area400;Laitila kommun;laitila.fi
area402;Lapinlahti kommun;lapinlahti.fi
area403;Lappajärvi kommun;lappajarvi.fi
area405;Lappeenranta kommun;lappeenranta.fi
area407;Lapinjärvi kommun;lapinjarvi.fi
area408;Lapua kommun;lapua.fi
area410;Laukaa kommun;laukaa.fi
area413;Lavia kommun;lavia.fi
area416;Lemi kommun;lemi.fi
area417;Lemland kommun;lemland.ax
area418;Lempäälä kommun;lempaala.fi
area420;Leppävirta kommun;leppavirta.fi
area421;Lestijärvi kommun;lestijarvi.fi
area422;Lieksa kommun;lieksa.fi
area423;Lieto kommun;lieto.fi
area425;Liminka kommun;liminka.fi
area426;Liperi kommun;liperi.fi
area430;Loimaa kommun;loimaa.fi
area433;Loppi kommun;loppi.fi
area434;Loviisa kommun;loviisa.fi
area435;Luhanka kommun;luhanka.fi
area436;Lumijoki kommun;lumijoki.fi
area438;Lumparland kommun;lumparland.ax
area440;Luoto kommun;hailuoto.fi
area441;Luumäki kommun;luumaki.fi
area442;Luvia kommun;luvia.fi
area475;Maalahti kommun;malax.fi
area476;Maaninka kommun;maaninka.fi
area478;Maarianhamina kommun;mariehamn.ax
area480;Marttila kommun;marttila.fi
area481;Masku kommun;masku.fi
area483;Merijärvi kommun;merijarvi.fi
area484;Merikarvia kommun;merikarvia.fi
area489;Miehikkälä kommun;miehikkala.fi
area491;Mikkeli kommun;mikkeli.fi
area494;Muhos kommun;muhos.fi
area495;Multia kommun;multia.fi
area498;Muonio kommun;muonio.fi
area499;Mustasaari kommun;korsholm.fi
area500;Muurame kommun;muurame.fi
area503;Mynämäki kommun;mynamaki.fi
area504;Myrskylä kommun;myrskyla.fi
area505;Mäntsälä kommun;mantsala.fi
area507;Mäntyharju kommun;mantyharju.fi
area529;Naantali kommun;naantali.fi
area531;Nakkila kommun;nakkila.fi
area532;Nastola kommun;nastola.fi
area535;Nivala kommun;nivala.fi
area536;Nokia kommun;nokiankaupunki.fi
area538;Nousiainen kommun;nousiainen.fi
area541;Nurmes kommun;nurmes.fi
area543;Nurmijärvi kommun;nurmijarvi.fi
area545;Närpiö kommun;narpes.fi
area560;Orimattila kommun;orimattila.fi
area561;Oripää kommun;oripaa.fi
area562;Orivesi kommun;orivesi.fi
area563;Oulainen kommun;oulainen.fi
area564;Oulu kommun;ouka.fi
area576;Padasjoki kommun;padasjoki.fi
area577;Paimio kommun;paimio.fi
area578;Paltamo kommun;paltamo.fi
area580;Parikkala kommun;parikkala.fi
area581;Parkano kommun;parkano.fi
area583;Pelkosenniemi kommun;pelkosenniemi.fi
area584;Perho kommun;perho.com
area588;Pertunmaa kommun;pertunmaa.fi
area592;Petäjävesi kommun;petajavesi.fi
area593;Pieksämäki kommun;pieksamaki.fi
area595;Pielavesi kommun;pielavesi.fi
area598;Pietarsaari kommun;jakobstad.fi
area599;Pedersörenkunta kommun;pedersore.fi
area601;Pihtipudas kommun;pihtipudas.fi
area604;Pirkkala kommun;pirkkala.fi
area607;Polvijärvi kommun;polvijarvi.fi
area608;Pomarkku kommun;pomarkku.fi
area609;Pori kommun;pori.fi
area611;Pornainen kommun;pornainen.fi
area614;Posio kommun;posio.fi
area615;Pudasjärvi kommun;pudasjarvi.fi
area616;Pukkila kommun;pukkila.fi
area619;Punkalaidun kommun;punkalaidun.fi
area620;Puolanka kommun;puolanka.fi
area623;Puumala kommun;puumala.fi
area624;Pyhtää kommun;pyhtaa.fi
area625;Pyhäjoki kommun;pyhajoki.fi
area626;Pyhäjärvi kommun;pyhajarvi.fi
area630;Pyhäntä kommun;pyhanta.fi
area631;Pyhäranta kommun;pyharanta.fi
area635;Pälkäne kommun;palkane.fi
area636;Pöytyä kommun;poytya.fi
area678;Raahe kommun;raahe.fi
area680;Raisio kommun;raisio.fi
area681;Rantasalmi kommun;rantasalmi.fi
area683;Ranua kommun;ranua.fi
area684;Rauma kommun;rauma.fi
area686;Rautalampi kommun;rautalampi.fi
area687;Rautavaara kommun;rautavaara.fi
area689;Rautjärvi kommun;rautjarvi.fi
area691;Reisjärvi kommun;reisjarvi.fi
area694;Riihimäki kommun;riihimaki.fi
area697;Ristijärvi kommun;ristijarvi.fi
area698;Rovaniemi kommun;rovaniemi.fi
area700;Ruokolahti kommun;ruokolahti.fi
area702;Ruovesi kommun;ruovesi.fi
area704;Rusko kommun;rusko.fi
area707;Rääkkylä kommun;raakkyla.fi
area729;Saarijärvi kommun;saarijarvi.fi
area732;Salla kommun;salla.fi
area734;Salo kommun;salo.fi
area736;Saltvik kommun;saltvik.ax
area738;Sauvo kommun;sauvo.fi
area739;Savitaipale kommun;savitaipale.fi
area740;Savonlinna kommun;savonlinna.fi
area742;Savukoski kommun;savukoski.fi
area743;Seinäjoki kommun;seinajoki.fi
area746;Sievi kommun;sievi.fi
area747;Siikainen kommun;siikainen.fi
area748;Siikajoki kommun;siikajoki.fi
area749;Siilinjärvi kommun;siilinjarvi.fi
area751;Simo kommun;simo.fi
area753;Sipoo kommun;sipoo.fi
area755;Siuntio kommun;siuntio.fi
area758;Sodankylä kommun;sodankyla.fi
area759;Soini kommun;soini.fi
area761;Somero kommun;somero.fi
area762;Sonkajärvi kommun;sonkajarvi.fi
area765;Sotkamo kommun;sotkamo.fi
area766;Sottunga kommun;sottunga.ax
area768;Sulkava kommun;sulkava.fi
area771;Sund kommun;sund.ax
area777;Suomussalmi kommun;suomussalmi.fi
area778;Suonenjoki kommun;suonenjoki.fi
area781;Sysmä kommun;sysma.fi
area783;Säkylä kommun;sakyla.fi
area785;Vaala kommun;vaala.fi
area831;Taipalsaari kommun;taipalsaari.fi
area832;Taivalkoski kommun;taivalkoski.fi
area833;Taivassalo kommun;taivassalo.fi
area834;Tammela kommun;tammela.fi
area837;Tampere kommun;tampere.fi
area838;Tarvasjoki kommun;tarvasjoki.fi
area844;Tervo kommun;tervo.fi
area845;Tervola kommun;tervola.fi
area846;Teuva kommun;teuva.fi
area848;Tohmajärvi kommun;tohmajarvi.fi
area849;Toholampi kommun;toholampi.fi
area850;Toivakka kommun;toivakka.fi
area851;Tornio kommun;tornio.fi
area853;Turku kommun;turku.fi
area854;Pello kommun;pello.fi
area857;Tuusniemi kommun;tuusniemi.fi
area858;Tuusula kommun;tuusula.fi
area859;Tyrnävä kommun;tyrnava.fi
area886;Ulvila kommun;ulvila.fi
area887;Urjala kommun;urjala.fi
area889;Utajärvi kommun;utajarvi.fi
area890;Utsjoki kommun;utsjoki.fi
area892;Uurainen kommun;uurainen.fi
area893;Uusikaarlepyy kommun;nykarleby.fi
area895;Uusikaupunki kommun;uusikaupunki.fi
area905;Vaasa kommun;vaasa.fi
area908;Valkeakoski kommun;valkeakoski.fi
area911;Valtimo kommun;valtimo.fi
area915;Varkaus kommun;varkaus.fi
area918;Vehmaa kommun;vehmaa.fi
area921;Vesanto kommun;vesanto.fi
area922;Vesilahti kommun;vesilahti.fi
area924;Veteli kommun;veteli.fi
area925;Vieremä kommun;vierema.fi
area927;Vihti kommun;vihti.fi
area931;Viitasaari kommun;viitasaari.fi
area934;Vimpeli kommun;vimpeli.fi
area935;Virolahti kommun;virolahti.fi
area936;Virrat kommun;virrat.fi
area941;Vårdö kommun;vardo.ax
area976;Ylitornio kommun;ylitornio.fi
area977;Ylivieska kommun;ylivieska.fi
area980;Ylöjärvi kommun;ylojarvi.fi
area981;Ypäjä kommun;ypaja.fi
area989;Ähtäri kommun;ahtari.fi
area992;Äänekoski kommun;aanekoski.fi
area111;Heinola kommun;heinola.fi
area444;Lohja kommun;lohja.fi
area638;Porvoo kommun;porvoo.fi
area020;Akaa kommun;akaa.fi
area322;Kemiönsaari kommun;kimitoon.fi
area710;Raasepori kommun;raseborg.fi
area508;Mänttä-Vilppula kommun;manttavilppula.fi
area790;Sastamala kommun;sastamala.fi
area445;Parainen kommun;pargas.fi
area791;Siikalatva kommun;siikalatva.fi
area946;Vöyri kommun;vora.fi